id	AH063	AH064	AH065	AH066
LmxM.01.0010	28	89	60	181
LmxM.01.0020	56	91	123	138
LmxM.01.0030	76	189	180	208
LmxM.01.0040	60	219	298	410
LmxM.01.0050	64	195	154	240
LmxM.01.0060	44	46	58	76
LmxM.01.0070	20	68	42	109
LmxM.01.0080	1	6	1	12
LmxM.01.0090	5	8	10	21
LmxM.01.0100	15	30	30	40
LmxM.01.0110	72	117	127	212
LmxM.01.0120	23	101	123	271
LmxM.01.0130	241	995	808	1235
LmxM.01.0140	199	858	1130	2034
LmxM.01.0150	1	0	4	5
LmxM.01.0160	330	608	507	719
LmxM.01.0170	11	30	21	41
LmxM.01.0180	3	5	13	17
LmxM.01.0190	16	75	79	152
LmxM.01.0200	34	75	54	69
LmxM.01.0210	98	259	416	610
LmxM.01.0220	24	67	119	185
LmxM.01.0230	11	37	54	98
LmxM.01.0240	174	644	671	1063
LmxM.01.0250	25	41	35	135
LmxM.01.0260	71	259	253	336
LmxM.01.0270	3112	14886	21529	15905
LmxM.01.0280	1	17	17	33
LmxM.01.0290	769	1635	1907	1861
LmxM.01.0300	810	2260	2186	1784
LmxM.01.0310	86	161	177	227
LmxM.01.0315	51	122	111	123
LmxM.01.0320	29	109	111	107
LmxM.01.0330	49	678	719	550
LmxM.01.0335	323	1010	1017	1123
LmxM.01.0340	11	49	35	31
LmxM.01.0350	539	1513	1937	2786
LmxM.01.0360	101	436	573	830
LmxM.01.0370	160	1124	1634	2011
LmxM.01.0380	11	102	98	239
LmxM.01.0390	1	39	28	106
LmxM.01.0400	9	20	10	42
LmxM.01.0410	986	1516	1466	1965
LmxM.01.0430	1	6	6	13
LmxM.01.0440	49	0	0	2
LmxM.01.0450	40	74	62	209
LmxM.01.0460	4342	7762	9551	7705
LmxM.01.0470	56	71	103	80
LmxM.01.0480	20	89	123	131
LmxM.01.0490	62	2	5	7
LmxM.01.0500	1	2	1	4
LmxM.01.0510	0	2	4	5
LmxM.01.0520	9	31	42	66
LmxM.01.0530	110	55	48	65
LmxM.01.0540	272	1456	1433	1803
LmxM.01.0550	97	183	214	231
LmxM.01.0560	9	24	17	30
