ID	ZT0_REP1	ZT0_REP2	ZT0_REP3	ZT4_REP1	ZT4_REP2	ZT4_REP3	ZT8_REP1	ZT8_REP2	ZT8_REP3	ZT12_REP1	ZT12_REP2	ZT12_REP3	ZT16_REP1	ZT16_REP2	ZT16_REP3	ZT20_REP1	ZT20_REP2	ZT20_REP3	GroundTruth
Lypla1	3.46482	3.45799	3.46554	3.44938	3.47389	3.46414	3.44652	3.43918	3.45623	3.44181	3.46721	3.47376	3.44985	3.46187	3.4524	3.46825	3.49289	3.46388	0
Tcea1	3.18104	3.20305	3.18301	3.19354	3.18514	3.20119	3.1896	3.18158	3.15484	3.16727	3.21382	3.21313	3.1767	3.18434	3.20194	3.19473	3.20278	3.18089	0
Atp6v1h	3.05355	3.0417	3.01111	3.03836	3.04874	3.06756	3.03825	3.03634	3.03423	3.0277	3.02592	3.02838	2.99977	3.04344	3.02827	3.02254	3.0397	3.02849	0
Oprk1	2.07412	2.04445	2.03428	2.08096	2.07411	2.05735	2.08665	2.07232	2.05896	2.08945	2.125	2.15777	2.07539	2.06593	2.14975	1.9486	2.10629	2.14093	0
Rb1cc1	3.13784	3.15361	3.14641	3.14683	3.14453	3.12865	3.15805	3.18998	3.10886	3.09535	3.17084	3.17175	3.08837	3.1075	3.12135	3.11593	3.14714	3.11233	0
Fam150a	1.56752	1.61981	1.58018	1.70687	1.56394	1.64236	1.62751	1.58834	1.41544	1.38108	1.6337	1.56291	1.54878	1.49697	1.58265	1.45352	1.52647	1.59541	0
St18	1.8802	1.80499	1.88746	1.85436	1.91002	1.90929	1.92804	1.84452	1.92599	2.0847	1.83465	1.76194	2.10338	1.96384	2.04066	1.72671	1.84776	1.88578	0
Pcmtd1	3.32577	3.33198	3.34142	3.3028	3.32568	3.29591	3.31117	3.33573	3.28323	3.25265	3.33607	3.32664	3.26331	3.27504	3.31492	3.3172	3.315	3.30072	0
Rrs1	2.68907	2.74814	2.75474	2.71052	2.66178	2.66794	2.64519	2.70176	2.71586	2.74835	2.67918	2.73318	2.69886	2.69788	2.6962	2.71152	2.71835	2.64458	0
Adhfe1	3.471	3.45587	3.45759	3.45769	3.4802	3.45178	3.4526	3.46115	3.48003	3.45321	3.43437	3.46107	3.45072	3.45496	3.43256	3.45696	3.47066	3.45377	0
